time,lon,lat,Temp[°C],Hum[%],HDX[°C],Alt[m],Press[mbar],DP[°C],Speed[km/h],Solar[],Date,Time
2023-03-03 15:12:37+00:00,11.3516408,44.4995904,15.4,58,15.5,56,1010,7.0,28,0.9,2023-03-03,15:12:37
2023-03-03 15:12:40+00:00,11.3513901,44.4997135,15.3,58,15.3,56,1010,7.0,26,0.8,2023-03-03,15:12:40
2023-03-03 15:12:46+00:00,11.350933,44.4999172,15.0,59,15.0,56,1010,7.0,26,0.6,2023-03-03,15:12:46
2023-03-03 15:12:52+00:00,11.3503828,44.4998183,14.9,60,15.1,55,1010,7.1,13,-,2023-03-03,15:12:52
2023-03-03 15:12:58+00:00,11.3503677,44.4997858,15.1,61,15.4,55,1010,7.4,2,-,2023-03-03,15:12:58
2023-03-03 15:13:04+00:00,11.3504465,44.4998128,15.4,61,15.8,55,1010,7.7,1,-,2023-03-03,15:13:04
2023-03-03 15:13:10+00:00,11.3503472,44.4998055,15.4,61,15.8,55,1010,7.7,9,-,2023-03-03,15:13:10
2023-03-03 15:13:16+00:00,11.3497897,44.4999226,15.3,60,15.6,55,1010,7.5,20,0.9,2023-03-03,15:13:16
2023-03-03 15:13:22+00:00,11.3492316,44.4999435,15.1,60,15.4,56,1010,7.3,25,0.9,2023-03-03,15:13:22
2023-03-03 15:13:28+00:00,11.3487369,44.5001114,15.0,61,15.2,56,1010,7.2,23,0.6,2023-03-03,15:13:28
2023-03-03 15:13:34+00:00,11.3482801,44.5003053,14.9,61,15.0,57,1010,7.2,21,0.6,2023-03-03,15:13:34
2023-03-03 15:13:40+00:00,11.3478698,44.5004371,14.7,61,14.8,57,1010,7.0,17,0.5,2023-03-03,15:13:40
2023-03-03 15:13:49+00:00,11.3473682,44.5005963,14.7,62,14.8,57,1010,7.1,20,0.6,2023-03-03,15:13:49
2023-03-03 15:13:55+00:00,11.34707,44.5006251,14.6,62,14.8,57,1010,7.1,13,-,2023-03-03,15:13:55
2023-03-03 15:14:01+00:00,11.346834,44.5006336,14.4,62,14.5,56,1010,6.9,12,-,2023-03-03,15:14:01
2023-03-03 15:14:07+00:00,11.3466704,44.5006731,14.4,62,14.4,57,1010,6.8,10,-,2023-03-03,15:14:07
2023-03-03 15:14:13+00:00,11.3465017,44.5007572,14.3,62,14.3,57,1010,6.8,10,-,2023-03-03,15:14:13
2023-03-03 15:14:19+00:00,11.3461335,44.5008251,14.2,62,14.2,58,1010,6.7,16,0.7,2023-03-03,15:14:19
2023-03-03 15:14:25+00:00,11.3458432,44.5009013,14.1,62,14.1,57,1010,6.7,13,-,2023-03-03,15:14:25
2023-03-03 15:14:31+00:00,11.3455422,44.500995,14.1,63,14.1,57,1010,6.7,16,1.0,2023-03-03,15:14:31
2023-03-03 15:14:37+00:00,11.3450741,44.5010822,14.2,63,14.2,56,1010,6.8,21,1.0,2023-03-03,15:14:37
2023-03-03 15:14:43+00:00,11.3448102,44.5012042,14.3,63,14.4,56,1010,7.0,6,-,2023-03-03,15:14:43
2023-03-03 15:14:49+00:00,11.3447661,44.5012533,14.3,63,14.5,56,1010,7.0,7,-,2023-03-03,15:14:49
2023-03-03 15:14:55+00:00,11.3446665,44.5012738,14.3,63,14.5,55,1010,7.0,2,-,2023-03-03,15:14:55
